,substrate,reagent,pred_opt_tfa,pred_opt_yield(%),pred_opt_conv(%),kernel_yield,kernel_yield_loo_mae(%),kernel_conv,kernel_conv_loo_mae(%)
bromo-Bifonazole,Bifonazole,N-bromosuccinimide,20.77077077077077,116.98510915509769,81.77110329498691,RBF,24.967729778445552,Matern (nu = 5/2),24.84576830980756
bromo-Camptothecin,Camptothecin,N-bromosuccinimide,1.8268268268268268,91.44324475692463,63.8450269552211,Matern (nu = 3/2),22.749856145549288,RBF,15.00259490007408
bromo-Ciprofloxacin,Ciprofloxacin,N-bromosuccinimide,20.545545545545547,165.93278912494975,71.03361614815333,RBF,32.04762754413046,RBF,17.206750210809197
4-bromo-Indomethacin,Indomethacin,N-bromosuccinimide,0.0,78.2221770723254,64.6014914460086,Matern (nu = 3/2),2.419612211420855,Matern (nu = 3/2),1.8481430027978263
6-bromo-Indomethacin,Indomethacin,N-bromosuccinimide,17.067067067067068,52.11145414906446,39.9030938904333,Matern (nu = 3/2),3.4996816949701604,RBF,1.7035067545565568
bromo-Ketanserin,Ketanserin,N-bromosuccinimide,3.1781781781781784,65.80558123704797,51.2497770351095,Matern (nu = 3/2),9.714440628572524,Matern (nu = 3/2),6.993209602146966
bromo-Lidocaine,Lidocaine,N-bromosuccinimide,3.1781781781781784,79.4509249432399,51.658700906391914,Matern (nu = 3/2),26.336637718525783,Matern (nu = 3/2),16.6436711773655
bromo-Mizolastine,Mizolastine,N-bromosuccinimide,10.960960960960962,109.699623380395,89.6514522961254,Matern (nu = 3/2),4.8110645996594315,Matern (nu = 3/2),5.229882393594295
bromo-Nevirapine,Nevirapine,N-bromosuccinimide,0.0,12.954353930008352,15.665765801912528,Matern (nu = 5/2),1.4699046950612713,RBF,1.2966651637659081
bromo-Palbociclib,Palbociclib,N-bromosuccinimide,10.66066066066066,104.05159018398862,88.91190177145853,Matern (nu = 3/2),25.300508470557798,Matern (nu = 3/2),24.901951373038433
bromo-Paracetamol,Paracetamol,N-bromosuccinimide,0.0,65.48287516657336,69.23496002419552,Matern (nu = 3/2),7.441410531215979,Matern (nu = 3/2),4.412934678096306
bromo-Quinine,Quinine,N-bromosuccinimide,0.0,34.78528525394023,36.629393055442705,RBF,22.098414474896625,Matern (nu = 3/2),15.077686277913145
bromo-Risperidone,Risperidone,N-bromosuccinimide,0.0,4.220777531667846,3.4523689592969853,Matern (nu = 5/2),5.6735404051919245,Matern (nu = 5/2),4.6867948104418495
bromo-Salicin,Salicin,N-bromosuccinimide,0.0,99.33488610317737,80.77266249798174,Matern (nu = 3/2),13.822736142816161,Matern (nu = 5/2),7.243422332463055
bromo-Yohimbine,Yohimbine,N-bromosuccinimide,17.61761761761762,52.54565509162188,50.99331443140993,RBF,12.065418510196247,Matern (nu = 3/2),13.2360303800288
chloro-Boscalid ,Boscalid ,Palau'chlor,8.133133133133134,71.49893782915603,58.56421705843225,RBF,22.564190173513897,Matern (nu = 3/2),20.986772884452847
chloro-Caffeine,Caffeine,Palau'chlor,0.0,19.222196667393035,29.6700397725578,Matern (nu = 3/2),3.9760619948631497,Matern (nu = 3/2),3.684757009475575
chloro-Camptothecin,Camptothecin,Palau'chlor,15.190190190190192,93.06190934287338,75.70505764676801,Matern (nu = 5/2),16.418852177487697,Matern (nu = 3/2),25.25195911553387
chloro-Ciprofloxacin,Ciprofloxacin,Palau'chlor,3.5035035035035036,76.63912686548178,74.43239098442154,Matern (nu = 3/2),23.127543580203913,Matern (nu = 3/2),22.72233186358463
chloro-Griseofulvin,Griseofulvin,Palau'chlor,0.0,62.55425875286551,57.91892762542426,RBF,10.028099364930462,Matern (nu = 3/2),10.91754827652592
chloro-Ibuprofen,Ibuprofen,Palau'chlor,2.877877877877878,102.83838838391443,67.18054355042796,Matern (nu = 3/2),29.23452990861131,RBF,23.5708027462209
chloro-Mizolastine,Mizolastine,Palau'chlor,0.0,48.747002689544786,71.4911351087477,RBF,12.312095656426461,Matern (nu = 3/2),18.178940106249797
chloro-Palbociclib,Palbociclib,Palau'chlor,5.405405405405406,107.68428497388918,87.84878602580433,Matern (nu = 3/2),28.59638459833954,Matern (nu = 3/2),22.673751392136467
chloro-Paracetamol,Paracetamol,Palau'chlor,20.57057057057057,39.3419294807931,48.81993545244234,Matern (nu = 3/2),4.255317967314687,RBF,2.946671165190889
chloro-Quinine,Quinine,Palau'chlor,1.5765765765765767,105.67206658241207,92.70085959364906,Matern (nu = 3/2),28.4764671894308,Matern (nu = 3/2),23.969671774411495
chloro-Risperidone,Risperidone,Palau'chlor,9.484484484484485,69.24886279719748,50.78494590228101,Matern (nu = 3/2),11.506902062804508,Matern (nu = 3/2),10.685017087466514
chloro-Ritonavir,Ritonavir,Palau'chlor,0.0,37.14460824946056,33.004002023285324,Matern (nu = 3/2),18.742461598888035,Matern (nu = 3/2),17.37927630071275
