,substrate,reagent,pred_opt_tfa,pred_opt_yield(%),pred_opt_conv(%),kernel_yield,kernel_yield_loo_mae(%),kernel_conv,kernel_conv_loo_mae(%)
bromo-Bifonazole,Bifonazole,N-bromosuccinimide,2.852852852852853,108.25896211321879,97.71160228130469,Matern (nu = 3/2),57.73588552116511,Matern (nu = 3/2),49.434502228721854
bromo-Camptothecin,Camptothecin,N-bromosuccinimide,1.3763763763763766,106.6213000387643,86.37395426663271,Matern (nu = 3/2),17.465632870625246,Matern (nu = 3/2),12.997788227923438
bromo-Ciprofloxacin,Ciprofloxacin,N-bromosuccinimide,24.824824824824827,126.10226809136186,72.44517495671106,Matern (nu = 3/2),41.52585027926604,Matern (nu = 3/2),36.14867017727395
4-bromo-Indomethacin,Indomethacin,N-bromosuccinimide,0.0,78.10397370141573,64.38366348957493,Matern (nu = 5/2),1.6353646857433546,Matern (nu = 3/2),2.0404838278443407
6-bromo-Indomethacin,Indomethacin,N-bromosuccinimide,17.067067067067068,52.16145887664334,40.917766058585244,Matern (nu = 3/2),3.3469058323256533,Matern (nu = 3/2),1.5408078727041783
bromo-Ketanserin,Ketanserin,N-bromosuccinimide,3.8288288288288292,73.01826410178177,56.613406377770986,Matern (nu = 3/2),10.598045681181501,Matern (nu = 3/2),6.218079686879098
bromo-Lidocaine,Lidocaine,N-bromosuccinimide,2.3523523523523524,94.82076560826367,70.47774583802764,Matern (nu = 3/2),33.32816998931906,Matern (nu = 3/2),25.90056546759448
bromo-Mizolastine,Mizolastine,N-bromosuccinimide,10.960960960960962,109.6996235591705,90.23822344286464,Matern (nu = 3/2),4.782416228014199,Matern (nu = 5/2),4.578329449316044
bromo-Nevirapine,Nevirapine,N-bromosuccinimide,0.0,13.026350290282977,15.638872693539739,RBF,1.6624319521501771,RBF,1.3592060534616963
bromo-Palbociclib,Palbociclib,N-bromosuccinimide,11.136136136136138,105.0614890481317,88.99999461299882,Matern (nu = 3/2),24.01318672598147,Matern (nu = 3/2),24.408108225694022
bromo-Paracetamol,Paracetamol,N-bromosuccinimide,0.0,75.32465953349708,72.92866993449297,Matern (nu = 3/2),9.432055347707976,Matern (nu = 3/2),4.4724270782040705
bromo-Quinine,Quinine,N-bromosuccinimide,2.002002002002002,75.98773264276439,64.9835372180184,Matern (nu = 5/2),11.622068396816942,Matern (nu = 3/2),10.748355295779621
bromo-Risperidone,Risperidone,N-bromosuccinimide,4.32932932932933,21.755491704555382,18.21232732486302,Matern (nu = 5/2),4.1466905529476845,RBF,3.2503391853763484
bromo-Salicin,Salicin,N-bromosuccinimide,0.0,116.07118968872686,89.29891696300979,Matern (nu = 3/2),20.443487114132484,Matern (nu = 3/2),8.55533709011079
bromo-Yohimbine,Yohimbine,N-bromosuccinimide,15.715715715715717,50.156381138655775,50.39649884084222,Matern (nu = 3/2),11.013452849989203,Matern (nu = 3/2),13.43382049177012
chloro-Boscalid ,Boscalid ,Palau'chlor,1.4514514514514516,67.13568562038759,61.27077125424667,Matern (nu = 3/2),35.8071027720274,Matern (nu = 3/2),33.323304831761966
chloro-Caffeine,Caffeine,Palau'chlor,0.0,24.956067639438388,29.96864048892968,Matern (nu = 3/2),3.0231412406005767,Matern (nu = 3/2),3.087815335675776
chloro-Camptothecin,Camptothecin,Palau'chlor,8.008008008008009,88.49652039766406,70.53069772796381,Matern (nu = 3/2),29.08892633525323,Matern (nu = 3/2),44.08452566498118
chloro-Ciprofloxacin,Ciprofloxacin,Palau'chlor,2.802802802802803,87.8468144598877,84.98979929677643,Matern (nu = 3/2),17.574109735668653,Matern (nu = 3/2),16.361443396348218
chloro-Griseofulvin,Griseofulvin,Palau'chlor,1.6266266266266267,72.70672710804706,65.85482718479932,Matern (nu = 3/2),25.06164143196446,Matern (nu = 3/2),20.889100490534297
chloro-Ibuprofen,Ibuprofen,Palau'chlor,1.4014014014014016,103.92185472224705,79.17149587013256,Matern (nu = 3/2),48.58340587127508,Matern (nu = 3/2),35.80657914587314
chloro-Mizolastine,Mizolastine,Palau'chlor,2.0770770770770772,78.09367509438478,94.38371825398019,Matern (nu = 3/2),27.852008648145944,Matern (nu = 3/2),20.72622124071873
chloro-Palbociclib,Palbociclib,Palau'chlor,4.77977977977978,115.35354749278805,93.19501024461296,Matern (nu = 3/2),36.18719473010408,Matern (nu = 3/2),26.780645552962387
chloro-Paracetamol,Paracetamol,Palau'chlor,21.07107107107107,39.31453461139618,48.9330018936912,Matern (nu = 3/2),4.540387135289729,RBF,2.9470397433758393
chloro-Quinine,Quinine,Palau'chlor,1.5765765765765767,113.36169641022528,101.75302204015449,RBF,12.740528331630557,RBF,11.688329915680914
chloro-Risperidone,Risperidone,Palau'chlor,10.06006006006006,69.79295243810495,49.838377497863064,Matern (nu = 3/2),15.425277301573574,Matern (nu = 3/2),11.31135782838869
chloro-Ritonavir,Ritonavir,Palau'chlor,1.0760760760760761,69.2233932955194,61.75133597885636,Matern (nu = 5/2),9.487658753177412,Matern (nu = 5/2),10.238639513256818
iodo-Griseofulvin,Griseofulvin,N-iodosuccinimide,3.5285285285285286,26.1490085570055,26.544927785385738,Matern (nu = 3/2),7.956119200841581,Matern (nu = 3/2),10.051974112579526
iodo-Hydroquinine,Hydroquinine,N-iodosuccinimide,25.0,13.53173514207036,10.658469889699742,Matern (nu = 5/2),2.352805765110032,RBF,1.9058813904326346
iodo-Hydroxychloroquine,Hydroxychloroquine,N-iodosuccinimide,23.323323323323326,96.30150003256465,85.51871473463672,Matern (nu = 3/2),13.5668162836692,Matern (nu = 3/2),13.607235843833976
iodo-Ibuprofen,Ibuprofen,N-iodosuccinimide,25.0,52.80880610439823,90.81698297613752,Matern (nu = 5/2),7.303974963377506,Matern (nu = 3/2),11.889519448885522
iodo-Indomethacin,Indomethacin,N-iodosuccinimide,5.455455455455456,93.09450090829888,79.50485117480528,Matern (nu = 3/2),37.953707696321686,Matern (nu = 3/2),29.386014995942425
iodo-Ketanserin,Ketanserin,N-iodosuccinimide,9.684684684684685,118.1207555978888,79.1473486938117,Matern (nu = 3/2),34.89854663596083,Matern (nu = 3/2),23.53653427003566
