,0,1,2,4,6,10,15,25
bromo-Bifonazole,0,0,80,83,82,82,80,79
bromo-Camptothecin,53,86,80,51,37,35,22,12
bromo-Ciprofloxacin,0,53,50,47,44,45,74,73
4-bromo-Indomethacin,65,63,64,65,63,61,57,57
6-bromo-Indomethacin,31,33,32,34,34,37,41,40
bromo-Ketanserin,30,31,47,58,43,14,7,6
bromo-Lidocaine,0,2,64,57,46,36,9,6
bromo-Mizolastine,97,79,93,92,94,90,90,84
bromo-Nevirapine,17,13,10,8,4,3,5,3
bromo-Palbociclib,27,0,0,58,79,89,86,84
bromo-Paracetamol,73,68,64,62,63,59,51,54
bromo-Quinine,26,40,65,0,0,0,0,0
bromo-Risperidone,2,0,0,17,11,2,2,2
bromo-Salicin,93,69,63,57,47,39,47,51
bromo-Yohimbine,3,32,46,50,54,52,51,51
chloro-Boscalid ,4,57,57,59,58,58,59,60
chloro-Caffeine,30,22,13,9,7,4,3,3
chloro-Camptothecin,12,83,81,77,77,77,76,74
chloro-Ciprofloxacin,2,32,73,77,54,51,45,55
chloro-Griseofulvin,29,64,64,65,67,66,67,64
chloro-Ibuprofen,16,74,75,73,78,77,76,73
chloro-Mizolastine,59,78,96,56,56,48,50,59
chloro-Palbociclib,0,0,0,81,90,73,72,75
chloro-Paracetamol,28,36,31,33,41,44,46,49
chloro-Quinine,60,94,97,0,0,0,0,0
chloro-Risperidone,0,0,0,38,48,50,45,34
chloro-Ritonavir,16,61,38,0,0,0,0,0
iodo-Griseofulvin,6,25,26,25,28,25,27,30
iodo-Hydroquinine,6,2,2,4,7,7,9,11
iodo-Hydroxychloroquine,5,6,5,38,46,61,72,85
iodo-Ibuprofen,8,12,19,39,49,79,81,91
iodo-Indomethacin,11,63,68,77,79,71,66,60
iodo-Ketanserin,0,0,35,62,69,80,87,91
iodo-Lidocaine,0,6,43,59,64,82,87,91
iodo-Palbociclib,15,18,0,8,12,18,18,18
iodo-Paracetamol,16,45,50,53,54,53,53,54
iodo-Risperidone,0,0,0,2,5,12,11,21
iodo-Ritonavir,26,76,65,26,33,35,42,49
iodo-Salicin,63,25,26,30,37,54,66,78
iodo-Yohimbine,6,19,91,85,79,78,58,53
