,0,1,2,4,6,10,15,25
bromo-Bifonazole,0,0,85,96,98,102,105,100
bromo-Camptothecin,51,103,99,60,43,41,16,9
bromo-Ciprofloxacin,0,57,58,56,52,55,117,126
4-bromo-Indomethacin,78,74,79,81,76,75,72,65
6-bromo-Indomethacin,38,38,39,42,41,45,52,46
bromo-Ketanserin,44,65,62,74,46,15,8,7
bromo-Lidocaine,0,2,88,72,53,41,11,7
bromo-Mizolastine,77,87,92,95,103,111,106,100
bromo-Nevirapine,15,11,8,7,4,3,5,4
bromo-Palbociclib,20,0,0,62,86,104,101,100
bromo-Paracetamol,80,59,58,58,54,49,39,40
bromo-Quinine,14,43,76,0,0,0,0,0
bromo-Risperidone,2,0,0,21,13,3,3,2
bromo-Salicin,117,62,51,42,32,29,25,10
bromo-Yohimbine,2,24,39,43,44,45,50,49
chloro-Bifonazole,0,0,42,53,50,58,54,51
chloro-Boscalid ,5,62,63,64,67,66,67,70
chloro-Caffeine,25,17,9,6,5,3,2,2
chloro-Camptothecin,9,55,66,54,80,87,92,83
chloro-Ciprofloxacin,2,34,77,77,55,53,42,59
chloro-Griseofulvin,32,70,71,73,62,68,67,70
chloro-Ibuprofen,19,97,97,97,95,91,93,89
chloro-Mizolastine,34,54,79,35,53,39,45,53
chloro-Palbociclib,0,0,0,104,103,85,80,85
chloro-Paracetamol,8,22,20,24,33,34,38,39
chloro-Quinine,49,102,107,0,0,0,0,0
chloro-Risperidone,0,0,0,48,60,70,57,45
chloro-Ritonavir,18,70,36,0,0,0,0,0
iodo-Griseofulvin,6,21,26,25,25,21,25,24
iodo-Hydroquinine,4,2,3,5,11,9,11,14
iodo-Hydroxychloroquine,5,6,6,42,55,68,83,95
iodo-Ibuprofen,8,13,18,31,36,48,44,53
iodo-Indomethacin,10,75,76,88,92,69,64,53
iodo-Ketanserin,0,0,46,76,102,118,101,106
iodo-Lidocaine,0,5,56,70,74,93,126,106
iodo-Palbociclib,12,21,0,10,14,31,18,33
iodo-Paracetamol,13,40,46,53,51,39,45,46
iodo-Risperidone,0,0,0,4,8,14,15,29
iodo-Ritonavir,35,99,105,27,33,30,38,48
iodo-Salicin,82,22,20,26,24,27,24,21
iodo-Yohimbine,6,19,82,76,71,68,56,39
