,scale_up_conv,nmr_yield,isolated_yield
bromo-Bifonazole,87,,53
bromo-Camptothecin,89,,82
bromo-Ciprofloxacin,92,86,
4-bromo-Indomethacin,64,,42
6-bromo-Indomethacin,47,,38
bromo-Ketanserin,71,,71
bromo-Lidocaine,72,63,
bromo-Mizolastine,94,,64
bromo-Nevirapine,21,16,
bromo-Palbociclib,87,,73
bromo-Paracetamol,78,,59
bromo-Quinine,49,47,
bromo-Risperidone,29,28,
bromo-Salicin,100,,83
bromo-Yohimbine,47,,30
chloro-Boscalid ,57,45,
chloro-Caffeine,34,,28
chloro-Camptothecin,75,67,
chloro-Ciprofloxacin,71,,70
chloro-Griseofulvin,77,,56
chloro-Ibuprofen,71,,71
chloro-Mizolastine,94,85,
chloro-Palbociclib,88,,57
chloro-Paracetamol,63,,38
chloro-Quinine,95,,97
chloro-Risperidone,54,,42
chloro-Ritonavir,23,25,
iodo-Griseofulvin,53,,45
iodo-Hydroquinine,11,8,
iodo-Hydroxychloroquine,92,84,
iodo-Ibuprofen,44,34,
iodo-Indomethacin,75,,70
iodo-Ketanserin,70,,61
iodo-Lidocaine,100,100,
iodo-Palbociclib,21,16,
iodo-Paracetamol,75,,18
iodo-Risperidone,20,21,
iodo-Ritonavir,72,71,
iodo-Salicin,12,11,
iodo-Yohimbine,83,,50
